INITIAL,LOCATION,NITRATE,NITRITE,CARBONATE,PH,GEN_HARDNESS,DIST_RD_M,DESC,LATITUDE,LONGITUDE,TEMP
EG,Cobb's Creek,0,0.5,0,7.5,60,6,Creek,NA,NA,7
AM,51 holland ave basement,0,0,120,7.7,170,9.1,Puddle,40.0093494,-75.2979539,9
DK,Nature Trail Creek,0,0,80,7,180,15.24,Creek,40.0068056,-75.30286111,8.3
JR,Duck Pond,20,0,40,7,120,15.24,Pond,NA,NA,9
RO,Nature Trail Creek,0,0,80,6.5,180,15.3,Creek,40.0068056,-75.30286111,9
AZ,Schuylkill River,0,0,100,8,50,25,River,40.0697222,-75.30916667,9
JN,Nature Trail Creek,20,0,120,6.5,180,39.6,Creek,40.0065557,-75.30362141,4
TS,Duck Pond,0,0,40,7,30,40,Pond,40.01118083,-75.30237673,9
MYS,Nature Trail Creek,0,0,80,7,120,45.72,Creek,40.0102666,-75.30251211,4.5
KW,Gulley Run Park,0,0,80,6.5,80,45.72,Stream,40.0183889,-75.245,7.78
WV,Duck Pond,0,0,40,7,120,45.72,Pond,40.0112778,-75.30305556,9
CS,Duck Pond,0,0,40,7.5,30,50,Pond,40.0119167,-75.30294444,7
RO,Duck Pond,0,0,40,7,60,50,Pond,40.0113333,-75.30230556,9
NB,Duck Pond,0,0,40,7,30,50,Pond,40.0119167,-75.30294444,9
MC,Duck Pond,0,0,40,7,30,50,Pond,40.0119167,-75.30294444,9
GDD,Duck Pond,0,0.5,40,7.25,30,50,Pond,40.0119167,-75.30294444,9
MF,Duck Pond,0,0,40,7,30,50,Pond,40.0119167,-75.30294444,9
AL,Duck Pond,0,0,80,7,180,50,Pond,40.0119167,-75.30294444,9
RO',Duck Pond,0,0,40,7,30,50,Pond,40.0119167,-75.30294444,9
DK,Duck Pond,0,0,40,6.5,120,50,Pond,40.0113333,-75.30230556,9
RW,Duck Pond,0,0,60,7,60,50,Pond,40.0119167,-75.30294444,9
MYS,Duck Pond,0,0,40,7,0,50,Pond,40.0119167,-75.30294444,9
NF,Duck Pond,0,0,40,7,60,50,Pond,40.0119167,-75.30294444,9
AZ,Duck Pond,0,0,40,6,120,50,Pond,40.0119167,-75.30294444,9
AM,Duck Pond,0,0,40,6.5,120,50,Pond,40.0119167,-75.30294444,9
RS,Duck Pond,0,0,40,7,45,50,Pond,NA,NA,9
JM,Duck Pond,0,0,40,7,60,50,Pond,NA,NA,9
EG,Duck Pond,10,0.25,40,6.5,30,50,Pond,40.0119167,-75.30294444,9
JN,Duck Pond,0,0,180,6.5,180,53.34,Pond,40.0112553,-75.30243159,9
MF,Ithan Creek,0,0,80,7,180,60,Creek,40.0118056,-75.35452778,7
RO,Ithan Creek,0,0,80,7,180,60,Creek,40.0118056,-75.35452778,7
NB,Ithan Creek,0,0,80,7.5,180,60,Creek,40.011806,-75.354528,9
CS,Ithan Creek,0,0,80,7,180,60,Creek,40.0118056,-75.35452778,9
JR,Schuylkill River,10,0,80,7,60,91.44,River,NA,NA,5
AL,Mill Creek,0,0,80,7,120,100,Creek,40.0229722,-75.27713889,NA
RS,Mill Creek,0.25,10,80,6.5,150,100,Creek,40.0229722,-75.27713889,NA
TS,Bryn Mawr Pond,0,0,80,6.5,180,101.7,Pond,40.02748584,-75.31694859,5.5
GDD,BMC Pond,0,0,80,7,180,101.7,Pond,40.0541639,-75.53585556,6
MC,Schuylkill River,0,0,40,6.5,45,152,River,NA,NA,5
RW,Schuylkill River,0,0,80,6.5,120,152.4,River,NA,NA,5
NF,Bryn Mawr Pond,0,0,80,6.5,180,300,Pond,40.0387,-75.31685,5.56
JM,Nature Trail Creek,0,0,120,7,180,NA,Creek,NA,NA,8
KW,Duck Pond,0,0,40,6.5,120,NA,Pond,40.0112778,-75.30305556,9
WV,Nature Trail Creek,0,0,80,6.5,120,NA,Creek,40.0073611,-75.30291667,10.3
GR,IKEA Parking Lot Puddle,0,0.5,0,7,30,NA,Puddle,NA,NA,NA
DK,2nd Site (replace with site name),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM,2nd Site (replace with site name),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DK,Duck Pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM,Duck Pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GR,Duck Pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA